musical_title,rate,review_title,review_text,review_date
뮤지컬엘리자벳,5,좋았어요,추천합니다.,2021.08.05
뮤지컬엘리자벳,5,엘리자벳,기회가 되면 또 보고싶습니다.,2021.08.05
뮤지컬엘리자벳,5,엘리자벳,"옥주현 손준호님 진짜 팬! 이지훈씨, 토드역 아이돌 분이었는데 기대 안하고 봤다가 감탄했어요  르베이 할아버지 넘버는 진짜 좋아요",2021.08.05
뮤지컬엘리자벳,5,강력 추천!,강력 추천!,2020.12.01
뮤지컬엘리자벳,5,너무 좋아요~,배우님들 다 목소리 너무 좋으시고 귀가 시원해지는 나깸 내가 대신 스트레스가 풀리는 느낌이였어요,2020.07.31
뮤지컬엘리자벳,5,좋아요~,역시 너무 좋아요~~ 무대와 의상이 화려해서 눈이 즐거웠어요~,2020.07.31
뮤지컬엘리자벳,5,압도적 성량과 화려한 무대,처음 본 뮤지컬인데 기대를 한참 충족시켜주는 무대였어요ㅎㅎ엄청난 성량으로 노래도 잘 들리고 화려한 무대와 안무에 눈과 귀 모두가 즐거운 시간이었습니다~~,2020.05.29
뮤지컬엘리자벳,5,"신영숙,정택운,강홍석","루케니는 최고였습니다. 극전체를 유쾌하게 또 쫄깃하게 늘였다 조였다 아주 재능이 미친자였어요 강홍석배우님.  때문에 다른 분이 연기하는 루케니는 상상이 안가네요. 보는내내 너무 감동스러워서, 이후에도 강홍석배우님 작품은 찾아다니려고요.신엘리는 초반부에(어린시절) 너무 엣되게 노래하셔서 개인적으로는 당혹스러웠어요. 전체 분위기와 줄거리에 비해 너무 맑고 영롱해, 행복에 겨워 눈물나는 목소리라고 느껴졌어요. 탁자끝에서 아슬아슬 회전하는 유리잔같은 톤 ㅎㅎ 신 배우님 공연을 처음 관람하기도 하고, 취향 차이일 듯하네요.택토드는 정배우 본인에게 인생캐인듯요. 압도적인 피지컬에 죽음 그 자체인 창백하고 날카로운 비주얼도 찰떡이지만, 우려와 달리 세심한 감정 연기와 노래 모두 무척이나 좋았습니다. 깔끔하고 안정적이면서 목소리톤이 매우 잘어울렸어요. 꽤 유명한 넘버들이라 오히려 좀 걱정을 했는데, 모든 우려를 깨고 너무나 좋았습니다. 너무 좋아서 이후 영상들을 좀 찾아봤는데, 다소 아쉬운 영상도 좀 있네요 ㅠ 실공연은 믿고 관람하셔도 될듯합니다.",2019.12.12
뮤지컬엘리자벳,5,2022년 10주년으로 재연이 필요 합니다!!!!~~~~~~~~~~,2022년 10주년으로 재연이 필요 합니다!!!!~~~~~~~~~~~~~~~,2019.11.22
뮤지컬엘리자벳,5,신엘리는 최곱니다,ㅠㅠ 신엘리 사랑해요 ㅠㅠ,2019.09.03
