musical_title,rate,review_title,review_text,review_date
뮤지컬［프랑켄슈타인］,5,프랑켄슈타인 후기,2018. 06. 23. 블루스퀘어 인터파크홀,2021.03.31
뮤지컬［프랑켄슈타인］,5,20년에는 라인업 거의확정이니깐..포기하구..2021년에 재연이 필요합니다. 해주세요!!!!!!!!!,"그리고 왕용범 연출자님 나중에 재연때 커튼콜 벤허, 영웅본색 처럼 멋있게 2~3곡 해주셨으면 감사 하겠습니다!!!!!!!!!!",2019.10.28
뮤지컬［프랑켄슈타인］,5,프랑켄슈타인,????,2019.10.09
뮤지컬［프랑켄슈타인］,5,돌아와주세요 ㅠㅠ4연,못봐서 인생의 한이 될거같아요 돌아와주세요 ㅠㅠ4연,2019.09.02
뮤지컬［프랑켄슈타인］,5,은앙리와 은괴가 그립습니다,지킬앤하이드 보면서 은괴가 그리워집니다. 2020년에 꼭 다시 와주세요!,2019.05.07
뮤지컬［프랑켄슈타인］,5,대박입니다.,배우들의 연기를보면서 숨을 쉴 수 없었다.,2019.04.17
뮤지컬［프랑켄슈타인］,5,역시 프랑켄슈타인,박은태배우의 앙리는 언제나 옳습니다.,2019.01.12
뮤지컬［프랑켄슈타인］,5,관람후기 너무 늦었네요!,완전 감동너무 재미있었어요!친구는 뮤지컬 처음이었는데 그전에 뭐가 재밌냐고하더니 본인이 푹 빠져버린ㅋ입문을 아주 제대로 했습니다ㅋㅋ,2019.01.11
뮤지컬［프랑켄슈타인］,5,완벽하다,무대 넘버 배우 스토리 뭐하나 아쉬움이없었다 최최고,2019.01.07
뮤지컬［프랑켄슈타인］,5,사연!!!!,사연 와쥬세요!!보고싶습니당 :),2018.12.10
뮤지컬［프랑켄슈타인］,5,비극에 눈물 짓게 만든 뮤지컬,"빅터와 앙리의 서사가 지닌 비극성과 안타까움, 뮤지컬 넘버가 너무나도 조화를 잘 이뤘던 한여름밤의 꿈같은 뮤지컬이었습니다 :)",2018.11.28
뮤지컬［프랑켄슈타인］,5,최고의뮤지컬,너무재밌어서 두번봤어요:)한지상님은 사랑입니다~~~~~,2018.11.24
뮤지컬［프랑켄슈타인］,5,너무 늦게 봐서 후회 합니다,이렇게 좋을 줄 몰랐습니다늦게나마 친구 통해 알게 되어서 너무 잘 봤고 재연시 다시 보러 가겠습니다,2018.11.15
뮤지컬［프랑켄슈타인］,5,좋아요,좋아요,2018.11.09
뮤지컬［프랑켄슈타인］,5,좋아요,한지상 좋아요,2018.11.09
뮤지컬［프랑켄슈타인］,4,좋아요,재밌어요,2018.11.09
뮤지컬［프랑켄슈타인］,5,좋아요,동빅 좋아요,2018.11.09
뮤지컬［프랑켄슈타인］,5,"긴장감과 스릴, 그리고 유머까지!!",완전 취향저격 뮤지컬입니다. 셋트도 굉장하고 특히 기계가 가장 인상에 남네요.,2018.11.09
뮤지컬［프랑켄슈타인］,5,완전 재미있어 ㅠㅠ,크아아아ㅏㄱ,2018.11.08
뮤지컬［프랑켄슈타인］,5,조아요,ㅜㅜㅜㅜㅜ,2018.11.06
뮤지컬［프랑켄슈타인］,5,.,........,2018.11.05
