year,title,place,duration,playtime,playage,male,female,10s,20s,30s,40s,50s,category,코미디,판타지,미스터리,공포,액션,가족,모험,전쟁,시대극,범죄,로맨스,종교,퀴어,스포츠,정치,법정,재난,성장,소설원작,영화원작,실화기반,우정,청춘,복수,키즈,폭력,선정,드라마,스릴러,image_url
2018,태양의서커스 - 쿠자,잠실종합운동장 내 빅탑,2018.11.03 ~2019.01.06,150분(인터미션 30분 포함),전체관람가,39.9,60.1,1,22.6,37.7,28.2,8.5,"['판타지','액션'] ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18009343_p.gif
2018,웃는 남자,블루스퀘어 인터파크홀,2018.09.05 ~2018.11.04,180분(인터미션 20분 포함),8세이상 관람가능,15.5,84.5,7.2,44.6,29.8,14,3.7,"['가족','로맨스','성장','소설원작']",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22004761_p.gif
2018,빌리 엘리어트,디큐브아트센터,2017.11.28 ~2018.05.07,175분(인터미션 20분 포함),미취학아동입장불가,18.9,81.1,2,24.5,39,28.2,5.1,"['성장','가족','스포츠','청춘','드라마']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/21/21004532_p.gif
2018,마틸다,LG아트센터,2018.09.08 ~2019.02.10,160분(인터미션 15분 포함),8세이상 관람가능,18.5,81.5,4.2,29,30,31.8,4.2,"['코미디','판타지','성장']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/22/22009226_p.gif
2018,킹키부츠,블루스퀘어 인터파크홀,2018.01.31 ~2018.04.01,150분(인터미션 20분 포함),만 7세이상,22.5,77.5,2.1,36.2,37.8,18,5.2,"['코미디','드라마',시대극','청춘','실화기반']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/22/22006535_p.gif
2018,젠틀맨스 가이드 : 사랑과 살인편,홍익대 대학로 아트센터 대극장,2018.11.09 ~2019.01.27,150분(인터미션 15분 포함),8세이상 관람가능,9.8,90.2,4.4,34,38.9,17.4,4.4,"['소설기반','코미디','가족','성장']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/21/21009264_p.gif
2018,팬텀,충무아트센터 대극장,2018.11.30 ~2019.02.17,185분(인터미션 20분 포함),8세이상 관람가능,27.6,72.4,3.3,28.6,32.5,24.7,9.3,"['소설원작','로맨스','가족','미스터리','드라마']",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/21/21000206_p.gif
2018,매디슨 카운티의 다리,샤롯데씨어터,2018.08.11 ~2018.10.28,170분(인터미션 20분 포함),만 13세이상,17.4,82.6,4.4,28.3,44,15.5,6.4,"['소설원작','시대극','로맨스']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18007572_p.gif
2018,미스터쇼 (Mr.SHOW),신한pLay 스퀘어 라이브홀,2018.09.14 ~2019.01.27,70분,만 19세이상,1.7,98.3,2.8,52.6,29.3,11.8,3.2,['선정'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://ticketimage.interpark.com/Play/image/large/18/18010079_p.gif
2018,안나 카레니나,예술의전당 오페라극장,2018.01.10 ~2018.02.25,150분(인터미션 20분 포함),8세이상 관람가능,25.5,74.5,2.2,28.3,37,22,9,"['소설원작','시대극','로맨스','가족']",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/19/19003835_p.gif
2018,배니싱,대학로 아트원씨어터 1관,2018.09.08 ~2018.11.25,110분,만 13세이상,2.4,97.6,11,50.5,30,6.1,1.4,"['스릴러','시대극','판타지']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://ticketimage.interpark.com/Play/image/large/22/22009711_p.gif
2018,닥터지바고,샤롯데씨어터,2018.02.27 ~2018.05.07,170분(인터미션 20분 포함),만 7세이상,19.8,80.2,3,30.4,38.9,20.1,6,"['소설원작','시대극','드라마','로맨스']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/18/18000293_p.gif
2018,랭보,대학로 TOM(티오엠) 1관,2018.10.23 ~2019.01.13,120분,만 13세이상,3.7,96.3,8.9,42.8,35.3,9.5,2.3,"['드라마','우정']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/22/22012631_p.gif
2018,젊음의 행진,충무아트센터 대극장,2018.03.13 ~2018.05.27,150분(인터미션 15분 포함),만 7세이상,24.8,75.2,1,25.4,39.5,24.5,8.4,['로맨스'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18001139_p.gif
2018,바넘：위대한쇼맨,충무아트센터 대극장,2018.08.07 ~2018.10.28,160분(인터미션 20분 포함),만 7세이상,19.1,80.9,8.8,36.7,29,19.7,5,"['실화기반','모험','로맨스','드라마','성장']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/18/18008709_p.gif
2018,김종욱찾기,컬처스페이스 엔유,2016.06.17 ~2020.12.31,100분,만 7세이상,30.5,69.5,8.9,42.9,27.8,15.6,4.2,"['코미디','로맨스']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/19/19006228_p.gif
2018,더 라스트 키스 (황태자 루돌프),LG아트센터,2017.12.15 ~2018.03.11,165분(인터미션 15분 포함),만 7세이상,12.5,87.5,14.4,48.5,22,11,3.3,"['소설원작','로맨스','시대극','실화기반']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/17/17014226_p.gif
