musical_title,rate,review_title,review_text,review_date
태양의서커스〈쿠자>,5,또 와주세요 쿠자ㅜㅜ,다음엔 부모님 모시고 오고싶었어요너무 환삼적인 공연ㅎㅎ,2020.02.19
태양의서커스〈쿠자>,5,좋아요,너무 재밌게 잘 봤어요. 너무 재밌게 잘 봤어요.,2019.05.26
태양의서커스〈쿠자>,5,긴장하면서 봣어요,재밋고... 완전 긴장하면서봤어요 !!!!!! 태양의서커스 쿠자 잼나용,2019.05.08
태양의서커스〈쿠자>,5,완전 좋았어요,부모님 모시고 갔는데 부모님도 진짜 좋아하셨어요 다음에 다른 스토리로 한다면 또 가고 싶네요,2019.03.27
태양의서커스〈쿠자>,3,쿠자,기대치가 높아서  실망도 큰것같네요.입장료대비 조금은 무성의하다고까지 느꼈어요. 조금더 알찬구성을 다음에는 기다려봅니다,2019.03.18
태양의서커스〈쿠자>,3,기대가 컸나봐요,기대가 컸네요 그냥 저냥 볼만했음,2019.03.18
태양의서커스〈쿠자>,5,좋았어요,다음에 떠 가고 싶네요,2019.03.17
태양의서커스〈쿠자>,5,좋은시간보내고왔습니다,가족모두 즐거웠습니다,2019.03.15
태양의서커스〈쿠자>,5,너무 즐거웠습니다.,딸아이가 너무너무 행복해하며 즐겁게 관람했습니다~^^,2019.03.13
태양의서커스〈쿠자>,5,두 번 봤어요,너무 좋아서 두 번 봤어요,2019.03.02
태양의서커스〈쿠자>,5,만족합니다,가족 모두 만족합니다 또 보고 싶어요,2019.03.02
태양의서커스〈쿠자>,5,최고,살면서 꼭 한번은 봐야합니다,2019.03.01
태양의서커스〈쿠자>,5,최고,내인생 최고의 서커스으,2019.02.26
태양의서커스〈쿠자>,5,기대이상으로 재미있었음,서커스는 처음 보는데 확실히 실물로 봐야함.연출도 대박이고 무엇보다 직접 연주도 하시고 노래도 부르시는거에 더 대박,2019.02.21
태양의서커스〈쿠자>,5,너무너무너무너무 좋았어요,티켓이 비싸서 고민하다가 봤는데 돈이 아깝지 않았어요!!!,2019.02.12
태양의서커스〈쿠자>,5,쿠차는 매직?????,제가  나이가  좀  있는 편이라서   서커스  그저  그렀겠지생각하고  갔더랬죠완전  제  착각이었어요공연하는 한 분  한분을 보며  얼마나 연습하고  또 연습했으면저럴까~저렇게  잘  할  수  있을까   한마디로  사람이   하는게   아니구  인형이  왔다갔다하는거  같았어요^^매직을  넘어  눈앞에서  기적이   일어난걸  본  느낌이어요담에  기회가  된다면  꼭  다시  볼껍니다,2019.02.11
태양의서커스〈쿠자>,5,행복한 공연이었어요,처음부터 끝까지 맘졸이면서 봤네요!,2019.02.09
태양의서커스〈쿠자>,5,행복하고 황홀했던 순간,놀랍게도 아찔했던 순간들 피나는 반복 훈련을 통해웃음으로 승화시킨 최고의 공연이었다무대 뒷편에서 인도풍 음악이 객석의 관객들을 취하게 만들었으며그녀의 손짓과 자태는 가히 잊을수 없다,2019.02.08
태양의서커스〈쿠자>,5,최고의공연,최고입니다,2019.02.06
